Latitude,Longitude,Title
32.8176,-97.2707,Earthgrain Company
34.3962,-119.5118,Earthgrain Company
43.0826,-89.3931,Earthgrain Company
42.3494,-71.5468,Raytheon Company
43.9346,-69.8346,Bath Iron Works
42.9016,-78.8487,"Board of Education, City of Buffalo"
42.9016,-78.8487,"Board of Education, City of Buffalo"
34.1139,-118.4068,Los Angeles County Metropolitan Transportation Authority
37.7562,-122.443,Hospitals - 3
38.9047,-77.0163,Washington Hospital Center
40.6943,-73.9249,Building and Realty Institute
39.1413,-84.5061,Kroger Company
38.4109,-82.4344,Kroger Company
34.1139,-118.4068,Los Angeles County
41.823,-71.4187,Rhode Island Hospital
37.7269,-121.4522,Summit Logistics Inc.
37.7562,-122.443,Hospitals - 8
45.5339,-94.1718,Frigidaire Freezer Products
38.884,-90.1073,Olin Corporation
37.3019,-121.8486,Hospitals - 18
39.3051,-76.6144,Baltimore hospitals - 3
38.0423,-84.4587,Trane Company
39.3051,-76.6144,Baltimore hospitals - 3
41.7661,-72.6834,Connecticut nursing homes
39.0346,-95.6955,Comair
37.9881,-87.5341,Mechanical Contractors Association of Southern Indiana and others
39.1637,-86.5257,Mechanical Contractors Association of Southern Indiana and others
21.3294,-157.846,Hawaii Department of Education
21.3294,-157.846,University of Hawaii
37.3019,-121.8486,Hospitals
44.9635,-93.2678,Associated General Contractors and others
41.5725,-93.6105,Des Moines Construction Council
47.6211,-122.3244,Seattle Public Schools District
41.7661,-72.6834,Connecticut nursing homes
44.9635,-93.2678,Associated General Contractors and others
47.6211,-122.3244,Weyerhaeuser Company
44.9231,-123.0246,Weyerhaeuser Company
41.8373,-87.6862,Peoples Gas Company
44.9635,-93.2678,Minnesota Hospital Healthcare Partnership
47.6211,-122.3244,Northwest Wall and Ceiling Contractors Association
41.8373,-87.6862,Midwest Generation Company
37.7562,-122.443,Northern California Painters and Finishing Contractors
37.7903,-122.2165,Painters and Decorators Joint Committee
38.6358,-90.2451,Automobile Dealers Association
42.3188,-71.0846,Sheet Metal Contractors Association
40.5218,-88.9881,Mitsubishi Manufacturing Co.
39.7915,-74.9375,Shop Rite Supermarkets
41.8025,-91.8741,Maytag Company
44.9477,-93.104,State of Minnesota
41.7661,-72.6834,"Pratt and Whitney Division, United Technologies Corp."
45.5372,-122.65,Oregon Health and Sciences University
39.2863,-80.323,Lockheed Martin Corporation
40.7498,-73.7976,Queens bus lines - 3
32.3846,-88.6896,Lockheed Martin Corporation
33.9533,-84.5422,Lockheed Martin Corporation
40.6943,-73.9249,"Group Health, Inc."
40.2806,-76.6458,Hershey Foods Corporation
41.7661,-72.6834,Connecticut Construction Industry Association
44.9635,-93.2678,Twin Cities Roofing Contractors Association
39.7771,-86.1458,Carrier Corporation
40.7498,-73.7976,Queens bus lines - 3
40.6943,-73.9249,Mechanical Contractors Association of New York
41.8373,-87.6862,Cook County
37.7562,-122.443,Delta Dental
37.5295,-77.4756,"Dominion - Dominion Energy, Dominion North Carolina Power, Dominion Virginia Power"
35.4764,-80.6403,"Dominion - Dominion Energy, Dominion North Carolina Power, Dominion Virginia Power"
39.2863,-80.323,"Dominion - Dominion Energy, Dominion North Carolina Power, Dominion Virginia Power"
40.0077,-75.1339,Boeing Company
37.7562,-122.443,Pacific Maritime Association
45.5372,-122.65,Pacific Maritime Association
47.2431,-122.4531,Pacific Maritime Association
